date,value
16/01/19,45
18/01/19,1
22/01/19,21
30/01/19,10
07/02/19,9
08/02/19,29
09/02/19,317
03/03/19,10
08/03/19,4
17/03/19,6
19/03/19,1
06/04/19,11
10/04/19,2
13/04/19,400
16/04/19,53
17/04/19,1
19/04/19,794
20/04/19,3
02/05/19,3
21/05/19,1
23/05/19,5
25/05/19,5
30/05/19,25
17/06/19,3
23/06/19,7
06/07/19,8
07/07/19,18
09/07/19,12
10/07/19,30
15/07/19,1
16/07/19,6
27/07/19,13
02/08/19,4
03/08/19,6
06/08/19,225
11/08/19,60
15/08/19,49
16/08/19,1
17/08/19,9
18/08/19,6
21/08/19,1
23/08/19,1
24/08/19,6
25/08/19,1
26/08/19,50
27/08/19,9
28/08/19,204
30/08/19,37
31/08/19,8
01/09/19,4
02/09/19,2
04/09/19,70
